"date","site","discharge_cfs","radiation_SW_W_m_2"
2022-06-26,"SFE_M",159.114583333333,362.197333333333
2022-07-03,"SFE_M",122.758928571429,243.614583333333
2022-07-10,"SFE_M",133.245535714286,354.376291666667
2022-07-17,"SFE_M",98.6959917434716,349.246
2022-07-24,"SFE_M",71.9659226190476,351.768958333333
2022-07-31,"SFE_M",54.1453869047619,198.055833333333
2022-08-07,"SFE_M",46.2175078320802,321.109041666667
2022-08-14,"SFE_M",41.6647321428571,314.320166666667
2022-08-21,"SFE_M",35.0278273809524,294.925125
2022-08-28,"SFE_M",26.1196428571429,287.871125
2022-09-04,"SFE_M",22.1833333333333,275.283208333333
2022-09-11,"SFE_M",17.8980654761905,130.477041666667
2022-09-18,"SFE_M",16.7067226890756,86.132375
2023-06-18,"SFE_M",196.379464285714,333.392125
2023-06-25,"SFE_M",158.41121031746,349.406125
2023-07-02,"SFE_M",128.464285714286,360.959625
2023-07-09,"SFE_M",98.7678571428571,320.393583333333
2023-07-16,"SFE_M",76.8642857142857,320.849666666667
2023-07-23,"SFE_M",64.0571428571429,309.660625
2023-07-30,"SFE_M",54.1690476190476,340.60475
2023-08-06,"SFE_M",42.9086244824017,325.530833333333
2023-08-13,"SFE_M",32.7782738095238,312.867833333333
2023-08-20,"SFE_M",25.184375,270.71525
2023-08-27,"SFE_M",31.4677083333333,295.882958333333
2023-09-03,"SFE_M",23.4360119047619,251.776708333333
2023-09-10,"SFE_M",25.7501488095238,265.322333333333
2023-09-17,"SFE_M",20.9541666666667,243.735791666667
2023-09-24,"SFE_M",12.2811011904762,184.332958333333
2024-06-19,"SFE_M",152.995535714286,370.202583333333
2024-06-26,"SFE_M",129.465773809524,355.332166666667
2024-07-03,"SFE_M",108.170982142857,370.04125
2024-07-10,"SFE_M",84.4224702380952,356.077
2024-07-17,"SFE_M",64.5410714285714,344.132
2024-07-24,"SFE_M",57.9517857142857,337.932833333333
2024-07-31,"SFE_M",46.8995535714286,333.495666666667
2024-08-07,"SFE_M",41.0285714285714,279.923041666667
2024-08-14,"SFE_M",32.9708333333333,279.808958333333
2024-08-21,"SFE_M",32.2355654761905,300.95925
2024-08-28,"SFE_M",56.3104166666667,294.640458333333
2024-09-04,"SFE_M",41.3465773809524,274.711291666667
2024-09-11,"SFE_M",32.4108630952381,175.363666666667
2024-09-18,"SFE_M",29.0372023809524,222.636666666667
2024-09-25,"SFE_M",27.1455357142857,214.282
2024-10-02,"SFE_M",23.6141369047619,219.240583333333
2024-10-09,"SFE_M",21.3985119047619,188.963333333333
