Weigh_Boat_ID,Sample ID,River,Cyano,Field Date,Tin Weight (mg),Wet sample + tin (mg),Date in drying oven,Date out  of drying oven,Dry sample + tin (mg),Date in furnace,Time in furnace,Date out of furnace,Ashed sample + tin (mg),Notes,Dry mass (mg),AFDM (mg),%OM
39,Eel-BUG,South Fork Eel,Microcoleus,7/31/24,1296.7,2417.1,8/2/24,8/5/24,1657.6,8/5/24,10:08,8/6/24,1622.2,,360.9,325.5,0.0981
40,Eel-3UP,South Fork Eel,Microcoleus,7/31/24,1293.4,2015.1,8/2/24,8/5/24,1326.3,8/5/24,10:08,8/6/24,1301.3,,32.9,7.9,0.7599
41,Eel-2UP,South Fork Eel,Microcoleus,7/31/24,1294.1,1906.9,8/2/24,8/5/24,1533.4,8/5/24,10:08,8/6/24,1516.8,,239.3,222.7,0.0694
42,Eel-4S,South Fork Eel,Anabaena,7/31/24,1297.6,2566,8/2/24,8/5/24,1356.5,8/5/24,10:08,8/6/24,1348.2,,58.9,50.6,0.1409
43,Eel-BUG,South Fork Eel,Anabaena,7/31/24,1292.7,2589.8,8/2/24,8/5/24,1305.4,8/5/24,10:08,8/6/24,1299.8,,12.7,7.1,0.4409
44,Eel-3UP,South Fork Eel,Anabaena,7/31/24,1292.8,3319.4,8/2/24,8/5/24,1311.1,8/5/24,10:08,8/6/24,1301.9,,18.3,9.1,0.5027
45,Eel-2UP,South Fork Eel,Anabaena,7/31/24,1293.4,2841.7,8/2/24,8/5/24,1320.3,8/5/24,10:08,8/6/24,1311.9,,26.9,18.5,0.3123
46,Eel-4S,South Fork Eel,Microcoleus,8/14/24,1290.4,2205.5,8/15/24,8/19/24,1333.3,8/19/24,,,1307.2,JLD: No furnace time in/out,42.9,16.8,0.6084
47,Eel-BUG,South Fork Eel,Microcoleus,8/14/24,1291.4,2303.6,8/15/24,8/19/24,1381.6,8/19/24,,,1354.4,JLD: No furnace time in/out,90.2,63,0.3016
48,Eel-3UP,South Fork Eel,Microcoleus,8/14/24,1296.1,2653.9,8/15/24,8/19/24,1345.3,8/19/24,,,1309.1,JLD: No furnace time in/out,49.2,13,0.7358
49,Eel-2UP,South Fork Eel,Microcoleus,8/14/24,1294.5,2925.4,8/15/24,8/19/24,1433.5,8/19/24,,,1385.3,JLD: No furnace time in/out,139,90.8,0.3468
50,Eel-4S,South Fork Eel,Anabaena,8/14/24,1292.7,2542.2,8/15/24,8/19/24,1331.5,8/19/24,,,1318.4,JLD: No furnace time in/out,38.8,25.7,0.3376
51,Eel-BUG,South Fork Eel,Anabaena,8/14/24,1288.7,2790.9,8/15/24,8/19/24,1303.1,8/19/24,,,1298.5,JLD: No furnace time in/out,14.4,9.8,0.3194
52,Eel-3UP,South Fork Eel,Anabaena,8/14/24,1284.3,2885.8,8/15/24,8/19/24,1398,8/19/24,,,1374.8,JLD: No furnace time in/out,113.7,90.5,0.204
53,Eel-2UP,South Fork Eel,Anabaena,8/14/24,1290.3,2997.7,8/15/24,8/19/24,1553.1,8/19/24,,,1526.4,JLD: No furnace time in/out,262.8,236.1,0.1016
54,East,Scott,Microcoleus,8/21/24,1290.2,17928.7,8/30/24,9/4/24,1300.4,9/4/24,,9/5/24,1295.3,JLD: No time in furnace,10.2,5.1,0.5
55,South,Scott,Microcoleus,8/21/24,1296.3,1752.8,8/30/24,9/4/24,1324.5,9/4/24,,9/5/24,1301.9,JLD: No time in furnace,28.2,5.6,0.8014
56,Red-1,Scott,Microcoleus,8/21/24,1289.5,1649.2,8/30/24,9/4/24,1349.3,9/4/24,,9/5/24,1336.3,JLD: No time in furnace,59.8,46.8,0.2174
