ESF,Sample,Date,Type,Total_ATXs,Det_ATXs,Total_CYL,Det_CYL,Total_MCs,Det_MCs,ATX,dhATX,HTX,dhHTX,Total_ATXs2,,,,,,
25-065,Eel-3UP,7/31/2024,P,0.059,0.179,nd,0.102,nd,0.05,nd,0.059,nd,nd,0.059,,,,,,
25-066,Eel-3UP,7/31/2024,P,1.241,0.212,nd,0.121,nd,0.06,1.005,0.236,nd,nd,1.241,,,,,,
25-067,Eel-2UP,7/31/2024,P,nd,0.166,nd,0.095,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-068,Eel-2UP EXT 2 ,7/31/2024,P,nd,0.18,nd,0.103,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-069,Eel-2UP EXT 3 ,7/31/2024,P,nd,0.161,nd,0.092,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-070,Eel-2UP,7/31/2024,P,0.977,0.174,nd,0.099,nd,0.05,0.736,0.242,nd,nd,0.977,,,,,,
25-071,Eel-2UP EXT 2 ,7/31/2024,P,1.201,0.187,nd,0.107,nd,0.06,1.023,0.179,nd,nd,1.201,,,,,,
25-072,Eel-2UP EXT 3 ,7/31/2024,P,1.156,0.195,nd,0.111,nd,0.06,0.936,0.22,nd,nd,1.156,,,,,,
25-073,Jones -4,7/26/2024,P,nd,0.16,nd,0.091,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-074,Red-1,7/26/2024,P,nd,0.177,nd,0.101,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-075,Town -5,7/26/2024,P,nd,0.164,nd,0.094,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-076,East-Up,7/26/2024,P,nd,0.178,nd,0.102,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-077,Mill,7/27/2024,P,nd,0.177,nd,0.101,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-078,SRS-3,7/27/2024,P,nd,0.171,nd,0.098,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-079,Klam -6,7/27/2024,P,nd,0.171,nd,0.098,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-080,Kid-Up,6/24/2024,P,nd,0.161,nd,0.092,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-081,South ,6/25/2024,P,nd,0.177,nd,0.101,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-082,Shack -Up,6/26/2024,P,nd,1.335,nd,0.762,nd,0.4,nd,nd,nd,nd,nd,,,,,,
25-083,Etna-Up,6/26/2024,P,nd,0.179,nd,0.102,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-084,Kelsey ,6/27/2024,P,nd,0.159,nd,0.091,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-085,Klam -6,6/28/2024,P,nd,0.334,nd,0.191,nd,0.1,nd,nd,nd,nd,nd,,,,,,
25-086,Mill,6/28/2024,P,nd,0.168,nd,0.096,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-087,BLANK 3 ,N/A,W,nd,3.39,nd,1.937,nd,1.01,nd,nd,nd,nd,nd,,,,,,
25-088,Eel-4S,8/26/2024,P,2.051,0.179,nd,0.102,nd,0.05,1.436,0.616,nd,nd,2.051,,,,,,
25-089,Eel-4S,8/26/2024,P,2.083,0.17,nd,0.097,nd,0.05,1.529,0.553,nd,nd,2.083,,,,,,
25-090,Eel-BUG ,8/26/2024,P,0.341,0.159,nd,0.091,nd,0.05,0.262,0.078,nd,nd,0.341,,,,,,
25-091,Eel-BUG ,8/26/2024,P,2.242,0.208,nd,0.119,nd,0.06,1.424,0.818,nd,nd,2.242,,,,,,
25-092,Eel-3UP,8/26/2024,P,1.697,0.179,nd,0.102,nd,0.05,1.23,0.466,nd,nd,1.697,,,,,,
25-093,Eel-3UP ,8/26/2024,P,6.7,0.207,nd,0.119,nd,0.06,4.955,1.744,nd,nd,6.7,,,,,,
25-094,Eel-3UP EXT 2 ,8/26/2024,P,6.457,0.178,nd,0.101,nd,0.05,4.689,1.768,nd,nd,6.457,,,,,,
25-095,Eel-3UP EXT 3 ,8/26/2024,P,6.577,0.19,nd,0.109,nd,0.06,4.551,2.026,nd,nd,6.577,,,,,,
25-096,Eel-2UP,8/26/2024,P,1.067,0.182,nd,0.104,nd,0.05,0.663,0.404,nd,nd,1.067,,,,,,
