field_date,time,site_reach,site,reach,pH,temp_C,DO_mg_L,cond_uS_cm,oPhos_ug_P_L,nitrate_mg_N_L,nitrate_replace,ammonium_mg_N_L,ammonia,ammonia_replace,assumed_pH,TDC_mg_L,DOC_mg_L,Cl_mg_L,SO4_mg_L,Br_mg_L,Na_mg_L,K_mg_L,Mg_mg_L,Ca_mg_L
8/26/24,NA,SFE-M-1S,SFE-M,1S,7.92,20.2,8.15,248,8.76,0.0015,0.002,,0.0029,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/26/24,NA,SFE-M-2,SFE-M,2,8.02,20.2,8.66,247,8.103,0.005,,,0.0033,0.0033 and ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/26/24,NA,SFE-M-3,SFE-M,3,8.13,21.1,8.98,246,8.41,0.005,,,0.0044,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/26/24,NA,SFE-M-4,SFE-M,4,8.18,23.9,10.44,246,8.521,0.004,,,0.0029,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/14/24,NA,SFE-M-1S,SFE-M,1S,8.24,22.6,10.14,260,9.977,0.006,,,0.00305,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/14/24,NA,SFE-M-2,SFE-M,2,7.95,20.2,8.64,261,8.366,0.005,,,0.0043,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/14/24,NA,SFE-M-3,SFE-M,3,8.21,19.5,9.2,262,9.848,0.004,,,0.0048,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/14/24,NA,SFE-M-4,SFE-M,4,8.13,18.7,8.36,264,8.96,0.0015,0.002,,0.0013,half min detec is 0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/27/24,NA,SFE-M-1S,SFE-M,1S,7.89,18.4,8.31,269,10.592,0.009,,,0.0026,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/27/24,NA,SFE-M-2,SFE-M,2,7.95,19.4,8.54,268,9.343,0.006,,,0.0031,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/27/24,NA,SFE-M-3,SFE-M,3,8.15,20.5,9.31,265,12.856,0.007,,,0.0023,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/27/24,NA,SFE-M-4,SFE-M,4,8.2,21,10.01,265,10.522,0.0015,0.002,,0.0046,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/10/24,NA,SFE-M-1S,SFE-M,1S,7.93,17.4,8.93,273,10.544,0.01,,,0.0047,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/10/24,NA,SFE-M-2,SFE-M,2,8.02,18.2,9.49,269,9.073,0.0015,0,,0.0034,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/10/24,NA,SFE-M-3,SFE-M,3,8.31,19.3,10.6,268,10.323,0.0015,-0.001,,0.0014,half min detec is 0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/10/24,NA,SFE-M-4,SFE-M,4,8.23,19.9,10.49,266,9.3285,0.0015,0,,0.00455,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
