field_date,year,site,reach,sample_type,ATX_all_ug_g,ATXa_ug_g,HTXa_ug_g,dhATXa_ug_g
10/10/24,2024,SFE-M,1S,Microcoleus,0,0,0,0
7/14/22,2022,SFE-M,3,Anabaena,0.6113,0.542,0,0.0693
7/14/22,2022,SFE-M,4,Anabaena,0.228,0.228,0,0
7/14/22,2022,SFE-M,1S,Anabaena,0.781,0.781,0,0
7/28/22,2022,SFE-M,3,Anabaena,4.719,4.279,0,0.44
7/28/22,2022,SFE-M,4,Anabaena,5.3813,4.5993,0,0.782
7/28/22,2022,SFE-M,1S,Anabaena,5.0837,4.4737,0,0.61
8/10/22,2022,SFE-M,3,Anabaena,2.045,1.894,0,0.151
8/10/22,2022,SFE-M,4,Anabaena,43.732,32.582,0,11.15
8/10/22,2022,SFE-M,1S,Anabaena,94.073,72.138,0,21.935
8/23/22,2022,SFE-M,3,Anabaena,0.779,0.601,0,0.178
9/6/22,2022,SFE-M,1S,Anabaena,0,0,0,0
9/17/22,2022,SFE-M,1S,Anabaena,0,0,0,0
7/10/23,2023,SFE-M,4,Anabaena,0.042,0.042,0,0
7/10/23,2023,SFE-M,1S,Anabaena,0,0,0,0
7/17/23,2023,SFE-M,4,Anabaena,0.015,0.015,0,0
7/17/23,2023,SFE-M,1S,Anabaena,0.0237,0.0237,0,0
7/24/23,2023,SFE-M,2,Anabaena,1.588,1.423,0,0.165
7/24/23,2023,SFE-M,3,Anabaena,0.088,0.026,0,0.062
7/24/23,2023,SFE-M,4,Anabaena,0.778,0.605,0,0.173
7/24/23,2023,SFE-M,1S,Anabaena,0.1485,0.124,0,0.0245
7/31/23,2023,SFE-M,2,Anabaena,5.019,4.227,0,0.792
7/31/23,2023,SFE-M,3,Anabaena,0.763,0.588,0,0.175
7/31/23,2023,SFE-M,4,Anabaena,4.988,3.862,0,1.126
7/31/23,2023,SFE-M,1S,Anabaena,3.692,3.132,0,0.56
8/7/23,2023,SFE-M,2,Anabaena,1.232,1.144,0,0.088
8/7/23,2023,SFE-M,3,Anabaena,4.813,4.13,0,0.683
8/7/23,2023,SFE-M,4,Anabaena,38.588,34.248,0,4.34
8/7/23,2023,SFE-M,1S,Anabaena,7.132,6.37365,0,0.75835
8/14/23,2023,SFE-M,2,Anabaena,51.352,45.657,0,5.695
8/14/23,2023,SFE-M,3,Anabaena,24.8473,21.7983,0,3.049
8/14/23,2023,SFE-M,4,Anabaena,25.082,21.478,0,3.604
8/14/23,2023,SFE-M,1S,Anabaena,36.5015,32.276,0.019,4.2065
8/22/23,2023,SFE-M,2,Anabaena,6.923,5.981,0,0.942
8/22/23,2023,SFE-M,3,Anabaena,17.0943,13.9683,0,3.126
8/22/23,2023,SFE-M,4,Anabaena,32.741,28.817,0,3.924
8/22/23,2023,SFE-M,1S,Anabaena,15.9715,13.9875,0,1.984
8/28/23,2023,SFE-M,3,Anabaena,0.616,0.463,0,0.153
8/28/23,2023,SFE-M,1S,Anabaena,12.598,10.67,0,1.928
9/4/23,2023,SFE-M,2,Anabaena,0.013,0.013,0,0
9/4/23,2023,SFE-M,1S,Anabaena,2.913,2.615,0,0.298
9/12/23,2023,SFE-M,1S,Anabaena,0.027,0.027,0,0
9/18/23,2023,SFE-M,2,Anabaena,0,0,0,0
9/18/23,2023,SFE-M,3,Anabaena,0,0,0,0
9/18/23,2023,SFE-M,1S,Anabaena,3.6115,3.032,0,0.5795
9/24/23,2023,SFE-M,2,Anabaena,0.0093,0,0.0093,0
9/24/23,2023,SFE-M,1S,Anabaena,0.561,0.5155,0,0.0455
7/31/24,2024,SFE-M,2,Anabaena,4.878,3.489,0,1.389
7/31/24,2024,SFE-M,3,Anabaena,1.241,1.005,0,0.236
7/31/24,2024,SFE-M,4,Anabaena,1.111333333,0.898333333,0,0.213666667
7/31/24,2024,SFE-M,1S,Anabaena,3.0275,2.71,0,0.3175
8/14/24,2024,SFE-M,2,Anabaena,0,0.204,0.093,0
8/14/24,2024,SFE-M,3,Anabaena,0,0,0,0
8/14/24,2024,SFE-M,4,Anabaena,1.988,1.218,0,0.77
8/14/24,2024,SFE-M,1S,Anabaena,0.538,0.448333333,0,0.089666667
8/26/24,2024,SFE-M,2,Anabaena,2.242,1.424,0,0.818
8/26/24,2024,SFE-M,3,Anabaena,6.578,4.731666667,0,1.846
8/26/24,2024,SFE-M,4,Anabaena,1.172,0.746,0,0.426
8/26/24,2024,SFE-M,1S,Anabaena,2.083,1.529,0,0.553
9/14/24,2024,SFE-M,2,Anabaena,0.072333333,0,0,0.072333333
9/14/24,2024,SFE-M,3,Anabaena,0.158,0,0,0.158
9/14/24,2024,SFE-M,4,Anabaena,0.066,0,0,0.066
9/14/24,2024,SFE-M,1S,Anabaena,0.022,0,0,0.022
