"date","radiation"
"2022-06-26",362.197333333333
"2022-06-27",358.304916666667
"2022-06-28",361.551541666667
"2022-06-29",365.89325
"2022-06-30",364.920333333333
"2022-07-01",360.00575
"2022-07-02",306.330083333333
"2022-07-03",243.614583333333
"2022-07-04",91.5245
"2022-07-05",163.575333333333
"2022-07-06",223.378541666667
"2022-07-07",298.879666666667
"2022-07-08",351.915541666667
"2022-07-09",344.438916666667
"2022-07-10",354.376291666667
"2022-07-11",354.878291666667
"2022-07-12",323.673416666667
"2022-07-13",342.027166666667
"2022-07-14",351.922541666667
"2022-07-15",352.798375
"2022-07-16",351.267
"2022-07-17",349.246
"2022-07-18",346.950416666667
"2022-07-19",348.632583333333
"2022-07-20",348.017875
"2022-07-21",347.336625
"2022-07-22",349.718416666667
"2022-07-23",353.249541666667
"2022-07-24",351.768958333333
"2022-07-25",344.507333333333
"2022-07-26",331.599166666667
"2022-07-27",337.572833333333
"2022-07-28",336.153666666667
"2022-07-29",335.315708333333
"2022-07-30",225.631958333333
"2022-07-31",198.055833333333
"2022-08-01",273.033458333333
"2022-08-02",204.988375
"2022-08-03",260.979166666667
"2022-08-04",314.037833333333
"2022-08-05",306.803041666667
"2022-08-06",315.987375
"2022-08-07",321.109041666667
"2022-08-08",321.319625
"2022-08-09",311.2045
"2022-08-10",315.940625
"2022-08-11",306.253666666667
"2022-08-12",315.507208333333
"2022-08-13",317.502208333333
"2022-08-14",314.320166666667
"2022-08-15",306.667
"2022-08-16",314.431083333333
"2022-08-17",308.881083333333
"2022-08-18",304.973541666667
"2022-08-19",305.252583333333
"2022-08-20",303.775916666667
"2022-08-21",294.925125
"2022-08-22",295.53575
"2022-08-23",296.698333333333
"2022-08-24",295.781125
"2022-08-25",292.543666666667
"2022-08-26",293.047333333333
"2022-08-27",291.942208333333
"2022-08-28",287.871125
"2022-08-29",288.45625
"2022-08-30",287.308708333333
"2022-08-31",285.687291666667
"2022-09-01",285.838416666667
"2022-09-02",281.698916666667
"2022-09-03",279.28625
"2022-09-04",275.283208333333
"2022-09-05",274.281041666667
"2022-09-06",271.62725
"2022-09-07",231.826125
"2022-09-08",236.995541666667
"2022-09-09",267.858166666667
"2022-09-10",211.300875
"2022-09-11",130.477041666667
"2022-09-12",213.067125
"2022-09-13",257.615
"2022-09-14",241.643833333333
"2022-09-15",252.978416666667
"2022-09-16",249.608666666667
"2022-09-17",159.883125
"2022-09-18",86.132375
"2022-09-19",195.2155
"2022-09-20",193.211875
"2022-09-21",170.287
"2022-09-22",208.767916666667
"2022-09-23",240.07525
"2022-09-24",241.068708333333
"2022-09-25",237.472875
"2022-09-26",217.418583333333
"2022-09-27",206.10175
"2022-09-28",210.638083333333
"2022-09-29",224.106583333333
"2022-09-30",227.384291666667
"2022-10-01",216.144625
"2022-10-02",206.404458333333
"2022-10-03",213.409708333333
"2022-10-04",211.357625
"2022-10-05",205.140958333333
"2022-10-06",204.710583333333
"2022-10-07",205.259416666667
"2022-10-08",199.617083333333
"2022-10-09",196.4535
"2022-10-10",197.352916666667
"2022-10-11",200.253083333333
"2022-10-12",192.523416666667
"2022-10-13",197.477166666667
"2022-10-14",195.773708333333
"2022-10-15",188.290083333333
"2022-10-16",187.139083333333
"2022-10-17",177.770875
"2022-10-18",180.678916666667
"2022-10-19",184.207291666667
"2022-10-20",183.1045
"2022-10-21",165.623416666667
"2022-10-22",163.64275
"2022-10-23",176.451458333333
"2022-10-24",89.7805
"2022-10-25",153.061541666667
"2022-10-26",169.167625
"2022-10-27",166.667291666667
"2022-10-28",147.489583333333
"2022-10-29",152.878291666667
"2022-10-30",161.019583333333
"2022-10-31",132.027166666667
"2022-11-01",90.515
"2022-11-02",60.0814166666667
"2022-11-03",147.891333333333
"2022-11-04",61.3490833333333
"2022-11-05",54.84825
"2022-11-06",54.2057916666667
"2022-11-07",73.4390833333333
"2022-11-08",88.8135
"2022-11-09",113.967208333333
"2022-11-10",136.46825
"2022-11-11",61.931
"2022-11-12",64.733125
"2022-11-13",136.05825
"2022-11-14",137.731875
"2022-11-15",139.106791666667
"2022-11-16",138.938833333333
"2022-11-17",107.310541666667
"2022-11-18",133.766
"2022-11-19",135.315625
"2022-11-20",115.872583333333
"2022-11-21",113.559541666667
"2022-11-22",111.722125
"2022-11-23",123.802916666667
"2022-11-24",125.672458333333
"2022-11-25",81.24775
"2022-11-26",121.638041666667
"2022-11-27",117.744541666667
"2022-11-28",86.7015416666667
"2022-11-29",115.526125
"2022-11-30",46.5661666666667
"2022-12-01",74.6035416666667
"2022-12-02",104.678166666667
"2022-12-03",37.1596666666667
"2022-12-04",46.1027916666667
"2022-12-05",57.9475
"2022-12-06",111.400291666667
"2022-12-07",116.316541666667
"2022-12-08",35.2423333333333
"2022-12-09",50.451625
"2022-12-10",47.3730416666667
"2022-12-11",62.814875
"2022-12-12",106.243958333333
"2022-12-13",115.329083333333
"2022-12-14",103.410333333333
"2022-12-15",114.951916666667
"2022-12-16",101.925333333333
"2022-12-17",102.774041666667
"2022-12-18",108.215416666667
"2022-12-19",94.2797916666667
"2022-12-20",28.09225
"2022-12-21",38.2074166666667
"2022-12-22",36.9692916666667
"2022-12-23",39.178375
"2022-12-24",39.9858333333333
"2022-12-25",80.2751666666667
"2022-12-26",28.02025
"2022-12-27",56.7130416666667
"2022-12-28",91.7767916666667
"2022-12-29",39.6137916666667
"2022-12-30",22.6164583333333
"2022-12-31",47.110125
"2023-01-01",108.791333333333
"2023-01-02",30.365625
"2023-01-03",36.44275
"2023-01-04",32.64425
"2023-01-05",58.5165833333333
"2023-01-06",41.5832083333333
"2023-01-07",35.7000416666667
"2023-01-08",57.4152083333333
"2023-01-09",85.5835833333333
"2023-01-10",66.555625
"2023-01-11",32.50625
"2023-01-12",31.8307916666667
"2023-01-13",40.3752083333333
"2023-01-14",54.2539583333333
"2023-01-15",83.5904583333333
"2023-01-16",88.4943333333333
"2023-01-17",119.457708333333
"2023-01-18",41.7805
"2023-01-19",117.413083333333
"2023-01-20",127.640041666667
"2023-01-21",119.716833333333
"2023-01-22",126.048958333333
"2023-01-23",128.323208333333
"2023-01-24",128.007041666667
"2023-01-25",135.35525
"2023-01-26",137.850958333333
"2023-01-27",132.379
"2023-01-28",139.989166666667
"2023-01-29",140.142291666667
"2023-01-30",147.324333333333
"2023-01-31",141.276875
"2023-02-01",129.184291666667
"2023-02-02",129.957541666667
"2023-02-03",109.117958333333
"2023-02-04",81.92475
"2023-02-05",62.2835
"2023-02-06",131.722375
"2023-02-07",87.919875
"2023-02-08",138.182875
"2023-02-09",150.132791666667
"2023-02-10",78.5550833333333
"2023-02-11",126.548458333333
"2023-02-12",160.962541666667
"2023-02-13",158.404791666667
"2023-02-14",100.826458333333
"2023-02-15",164.510166666667
"2023-02-16",142.818166666667
"2023-02-17",162.967958333333
"2023-02-18",167.93975
"2023-02-19",167.379208333333
"2023-02-20",166.2705
"2023-02-21",125.965375
"2023-02-22",113.39575
"2023-02-23",108.9115
"2023-02-24",53.5591666666667
"2023-02-25",142.483333333333
"2023-02-26",100.26225
"2023-02-27",87.36125
"2023-02-28",105.095541666667
"2023-03-01",176.907666666667
"2023-03-02",125.252041666667
"2023-03-03",197.669
"2023-03-04",134.235916666667
"2023-03-05",141.103125
"2023-03-06",123.501875
"2023-03-07",136.14325
"2023-03-08",145.481166666667
"2023-03-09",69.7926666666667
"2023-03-10",183.873666666667
"2023-03-11",94.3337083333333
"2023-03-12",78.5152916666667
"2023-03-13",84.25
"2023-03-14",71.98525
"2023-03-15",235.70425
"2023-03-16",250.112916666667
"2023-03-17",220.623958333333
"2023-03-18",197.8705
"2023-03-19",104.196291666667
"2023-03-20",130.839
"2023-03-21",199.942458333333
"2023-03-22",203.341458333333
"2023-03-23",122.739833333333
"2023-03-24",157.196541666667
"2023-03-25",257.935916666667
"2023-03-26",281.599333333333
"2023-03-27",178.316833333333
"2023-03-28",116.202208333333
"2023-03-29",160.209375
"2023-03-30",263.473666666667
"2023-03-31",173.782333333333
"2023-04-01",112.808416666667
"2023-04-02",162.425125
"2023-04-03",215.6965
"2023-04-04",254.474166666667
"2023-04-05",191.512708333333
"2023-04-06",100.364416666667
"2023-04-07",154.551041666667
"2023-04-08",154.620458333333
"2023-04-09",204.831666666667
"2023-04-10",229.32475
"2023-04-11",237.429458333333
"2023-04-12",306.057666666667
"2023-04-13",309.944333333333
"2023-04-14",305.957
"2023-04-15",282.777625
"2023-04-16",146.199416666667
"2023-04-17",99.529875
"2023-04-18",200.435625
"2023-04-19",255.442625
"2023-04-20",216.587791666667
"2023-04-21",267.589
"2023-04-22",299.633
"2023-04-23",243.046291666667
"2023-04-24",319.097166666667
"2023-04-25",328.791083333333
"2023-04-26",328.336875
"2023-04-27",329.795166666667
"2023-04-28",329.754208333333
"2023-04-29",329.790041666667
"2023-04-30",286.257333333333
"2023-05-01",168.39325
"2023-05-02",168.840875
"2023-05-03",271.073541666667
"2023-05-04",166.206875
"2023-05-05",158.479041666667
"2023-05-06",218.449125
"2023-05-07",148.784083333333
"2023-05-08",163.271666666667
"2023-05-09",296.559
"2023-05-10",358.476833333333
"2023-05-11",348.751041666667
"2023-05-12",358.756916666667
"2023-05-13",359.39825
"2023-05-14",363.448666666667
"2023-05-15",359.601083333333
"2023-05-16",359.193333333333
"2023-05-17",351.810375
"2023-05-18",360.529916666667
"2023-05-19",365.166791666667
"2023-05-20",363.471083333333
"2023-05-21",366.167166666667
"2023-05-22",354.90425
"2023-05-23",373.38
"2023-05-24",376.054375
"2023-05-25",373.835916666667
"2023-05-26",367.437875
"2023-05-27",370.279666666667
"2023-05-28",328.920708333333
"2023-05-29",358.362708333333
"2023-05-30",359.786666666667
"2023-05-31",377.649958333333
"2023-06-01",361.257833333333
"2023-06-02",361.816291666667
"2023-06-03",347.889458333333
"2023-06-04",358.330166666667
"2023-06-05",332.823458333333
"2023-06-06",313.012833333333
"2023-06-07",306.665791666667
"2023-06-08",269.776125
"2023-06-09",296.204541666667
"2023-06-10",328.947416666667
"2023-06-11",348.264333333333
"2023-06-12",349.057333333333
"2023-06-13",352.169791666667
"2023-06-14",352.688333333333
"2023-06-15",366.465375
"2023-06-16",363.204875
"2023-06-17",338.193875
"2023-06-18",333.392125
"2023-06-19",339.752916666667
"2023-06-20",363.988875
"2023-06-21",361.637166666667
"2023-06-22",335.386041666667
"2023-06-23",357.020333333333
"2023-06-24",355.547541666667
"2023-06-25",349.406125
"2023-06-26",354.037166666667
"2023-06-27",361.041708333333
"2023-06-28",361.738
"2023-06-29",362.551416666667
"2023-06-30",360.520458333333
"2023-07-01",358.66
"2023-07-02",360.959625
"2023-07-03",360.882875
"2023-07-04",362.47275
"2023-07-05",361.041541666667
"2023-07-06",359.444666666667
"2023-07-07",359.994166666667
"2023-07-08",361.756125
"2023-07-09",320.393583333333
"2023-07-10",351.622583333333
"2023-07-11",357.224166666667
"2023-07-12",353.610875
"2023-07-13",351.607458333333
"2023-07-14",335.052416666667
"2023-07-15",346.499333333333
"2023-07-16",320.849666666667
"2023-07-17",346.351291666667
"2023-07-18",352.491291666667
"2023-07-19",351.815625
"2023-07-20",344.346416666667
"2023-07-21",348.92875
"2023-07-22",335.767916666667
"2023-07-23",309.660625
"2023-07-24",342.318375
"2023-07-25",341.334875
"2023-07-26",342.67275
"2023-07-27",341.790208333333
"2023-07-28",341.747666666667
"2023-07-29",339.532166666667
"2023-07-30",340.60475
"2023-07-31",341.431666666667
"2023-08-01",322.491583333333
"2023-08-02",322.987375
"2023-08-03",328.019458333333
"2023-08-04",326.630583333333
"2023-08-05",324.087
"2023-08-06",325.530833333333
"2023-08-07",321.904583333333
"2023-08-08",320.143708333333
"2023-08-09",313.326541666667
"2023-08-10",314.1065
"2023-08-11",313.643458333333
"2023-08-12",313.578166666667
"2023-08-13",312.867833333333
"2023-08-14",310.737458333333
"2023-08-15",286.576458333333
"2023-08-16",305.613708333333
"2023-08-17",297.161458333333
"2023-08-18",300.833333333333
"2023-08-19",291.583083333333
"2023-08-20",270.71525
"2023-08-21",171.350333333333
"2023-08-22",154.926875
"2023-08-23",285.382958333333
"2023-08-24",295.713208333333
"2023-08-25",294.699333333333
"2023-08-26",296.06925
"2023-08-27",295.882958333333
"2023-08-28",294.975125
"2023-08-29",292.465916666667
"2023-08-30",284.103625
"2023-08-31",263.074333333333
"2023-09-01",183.418208333333
"2023-09-02",230.202208333333
"2023-09-03",251.776708333333
"2023-09-04",273.401666666667
"2023-09-05",275.7345
"2023-09-06",275.316083333333
"2023-09-07",260.949541666667
"2023-09-08",247.568041666667
"2023-09-09",265.382041666667
"2023-09-10",265.322333333333
"2023-09-11",265.147291666667
"2023-09-12",260.633166666667
"2023-09-13",261.169875
"2023-09-14",260.419875
"2023-09-15",253.548125
"2023-09-16",222.66625
"2023-09-17",243.735791666667
"2023-09-18",245.833166666667
"2023-09-19",246.255
"2023-09-20",252.492666666667
"2023-09-21",251.29575
"2023-09-22",243.896166666667
"2023-09-23",237.247333333333
"2023-09-24",184.332958333333
"2023-09-25",72.864375
"2023-09-26",192.600291666667
"2023-09-27",214.662875
"2023-09-28",221.632041666667
"2023-09-29",88.94275
"2023-09-30",172.802791666667
"2023-10-01",224.048041666667
"2023-10-02",210.461916666667
"2023-10-03",206.818791666667
"2023-10-04",215.891
"2023-10-05",213.128166666667
"2023-10-06",209.832375
"2023-10-07",207.218875
"2023-10-08",203.511291666667
"2023-10-09",90.9531666666667
"2023-10-10",97.3149166666667
"2023-10-11",156.256541666667
"2023-10-12",196.412208333333
"2023-10-13",52.8483333333333
"2023-10-14",79.458375
"2023-10-15",160.277291666667
"2023-10-16",76.7025833333333
"2023-10-17",177.241708333333
"2023-10-18",183.146375
"2023-10-19",183.473958333333
"2023-10-20",174.755333333333
"2023-10-21",160.020291666667
"2023-10-22",77.7488333333333
"2023-10-23",171.507875
"2023-10-24",130.665291666667
"2023-10-25",89.18525
"2023-10-26",170.609041666667
"2023-10-27",169.60675
"2023-10-28",172.471625
"2023-10-29",171.0265
"2023-10-30",169.323791666667
"2023-10-31",159.578708333333
"2023-11-01",158.018125
"2023-11-02",56.7135
"2023-11-03",116.572458333333
"2023-11-04",39.586
"2023-11-05",68.8077083333333
"2023-11-06",95.2390416666667
"2023-11-07",136.555041666667
"2023-11-08",144.9305
"2023-11-09",115.701583333333
"2023-11-10",120.241958333333
"2023-11-11",133.935583333333
"2023-11-12",104.604958333333
"2023-11-13",39.514625
"2023-11-14",26.1889166666667
"2023-11-15",49.193
"2023-11-16",125.633625
"2023-11-17",106.959041666667
"2023-11-18",52.9184583333333
"2023-11-19",114.066083333333
"2023-11-20",128.10425
"2023-11-21",122.635125
"2023-11-22",75.3627916666667
"2023-11-23",125.751791666667
"2023-11-24",128.903583333333
"2023-11-25",127.746166666667
"2023-11-26",126.569208333333
"2023-11-27",124.371083333333
"2023-11-28",89.0842083333333
"2023-11-29",89.4208333333333
"2023-11-30",62.2882083333333
"2023-12-01",53.472375
"2023-12-02",40.6764583333333
"2023-12-03",38.7292916666667
"2023-12-04",48.3097916666667
"2023-12-05",73.2662083333333
"2023-12-06",42.8023333333333
"2023-12-07",67.3974166666667
"2023-12-08",101.615666666667
"2023-12-09",96.2339583333333
"2023-12-10",105.299
"2023-12-11",78.0997916666667
"2023-12-12",110.714333333333
"2023-12-13",98.364375
"2023-12-14",45.7367083333333
"2023-12-15",105.491791666667
"2023-12-16",110.0845
"2023-12-17",43.1251666666667
"2023-12-18",39.4140833333333
"2023-12-19",43.9235
"2023-12-20",48.7271666666667
"2023-12-21",107.784541666667
"2023-12-22",97.54975
"2023-12-23",113.083
"2023-12-24",48.042125
"2023-12-25",57.4771666666667
"2023-12-26",31.6642916666667
"2023-12-27",44.0848333333333
"2023-12-28",40.4099166666667
"2023-12-29",44.6861666666667
"2023-12-30",74.21875
"2023-12-31",79.1737083333333
"2024-01-01",106.192083333333
"2024-01-02",34.515375
"2024-01-03",53.23275
"2024-01-04",54.259625
"2024-01-05",108.425583333333
"2024-01-06",64.4265833333333
"2024-01-07",108.189166666667
"2024-01-08",25.8645833333333
"2024-01-09",74.3990833333333
"2024-01-10",51.717
"2024-01-11",113.895875
"2024-01-12",44.5064166666667
"2024-01-13",28.04425
"2024-01-14",88.873625
"2024-01-15",102.629166666667
"2024-01-16",30.337375
"2024-01-17",74.63675
"2024-01-18",55.290125
"2024-01-19",40.6363333333333
"2024-01-20",48.0205
"2024-01-21",48.8887916666667
"2024-01-22",75.28025
"2024-01-23",107.639916666667
"2024-01-24",65.12075
"2024-01-25",121.768583333333
"2024-01-26",34.355625
"2024-01-27",53.122
"2024-01-28",106.057333333333
"2024-01-29",123.271666666667
"2024-01-30",115.915166666667
"2024-01-31",59.0588333333333
"2024-02-01",70.4781666666667
"2024-02-02",78.5349166666667
"2024-02-03",128.350541666667
"2024-02-04",52.8672083333333
"2024-02-05",74.2204583333333
"2024-02-06",101.598416666667
"2024-02-07",75.2221666666667
"2024-02-08",111.128166666667
